name_film,oscar,release,length,genre,historic,war,true_story,biographical,bait_score,winner
The Full Monty,70rd,August,91,Komödie,2,2,2,2,0,2
As Good as It Gets,70rd,Dezember,139,Romantische Komödie,2,2,2,2,0,2
Titanic,70rd,Dezember,195,Epos,1,2,1,2,2,1
Shine,69rd,November,105,Drama,2,2,1,1,2,2
Secrets & Lies,69rd,September,142,Drama,2,2,2,2,0,2
Jerry Maguire,69rd,Dezember,139,Romantische Komödie,2,2,1,2,1,2
Fargo,69rd,März,98,Dunkle Komödie,2,2,2,2,0,2
The English Patient,69rd,November,162,Drama,1,2,1,2,2,1
Sense and Sensibility,68rd,Dezember,136,Drama,1,2,2,2,1,2
Il Postino: The Postman,68rd,Juni,108,Drama,1,2,1,2,2,2
Babel,68rd,August,92,Komödie,2,2,2,2,0,2
Apollo 13,68rd,Juni,140,Drama,1,2,1,2,2,2
Braveheart,68rd,Mai,178,Epos,1,1,1,1,4,1
The Shawshank Redemption,67rd,September,142,Drama,1,2,2,2,1,2
Quiz Show,67rd,September,133,Drama,1,2,1,1,3,2
Pulp Fiction,67rd,Oktober,154,Dunkle Komödie,2,2,2,2,0,2
Four Weddings and a Funeral,67rd,März,117,Romantische Komödie,2,2,2,2,0,2
Forrest Gump,67rd,Juli,142,Komödie,1,1,2,2,2,1
The Remains of the Day,66rd,November,134,Drama,1,2,2,2,1,2
The Piano,66rd,Februar AS,117,Drama,1,2,2,2,1,2
In the Name of the Father,66rd,Dezember,133,Drama,1,2,1,1,3,2
The Fugitive,66rd,August,130,Thriller,2,2,2,2,0,2
Schindler´s List,66rd,Dezember,195,Drama,1,1,1,1,4,1
Scent of a Woman,65rd,Dezember,156,Drama,2,2,2,2,0,2
Howards End,65rd,März,142,Drama,1,2,2,2,1,2
A Few Good Men,65rd,Dezember,138,Drama,2,2,1,2,1,2
The Crying Game,65rd,November,111,Thriller,1,2,2,2,1,2
Unforgiven,65rd,August,131,Western,1,2,2,2,1,1
The Prince of Tides,64rd,Dezember,132,Drama,2,2,2,2,0,2
JFK,64rd,Dezember,188,Thriller,1,2,1,1,3,2
Bugsy,64rd,Dezember,136,Drama,1,2,1,1,3,2
Beauty and the Beast,64rd,November,84,Fantasy,2,2,2,2,0,2
The Silence of the Lambs,64rd,Februar,118,Thriller,2,2,1,2,1,1
Goodfellas,63rd,September,146,Drama,1,2,1,1,3,2
The Godfather Part III,63rd,Dezember,162,Epos,1,2,1,2,2,2
Ghost,63rd,Juli,127,Romanze,2,2,2,2,0,2
Awakenings,63rd,Dezember,121,Drama,1,2,1,1,3,2
Dances With Wolves,63rd,November,181,Western,1,1,2,2,2,1
